id,name,type1,type2,moves,weight,height,hp,attack,defense,sp_atk,sp_def,speed
12,butterfree,bug,flying,"{'reflect', 'sunny-day', 'safeguard', 'roost', 'double-team', 'confide', 'psybeam', 'captivate', 'protect', 'mimic', 'sweet-scent', 'aerial-ace', 'harden', 'stun-spore', 'psychic', 'frustration', 'signal-beam', 'struggle-bug', 'toxic', 'pollen-puff', 'giga-drain', 'infestation', 'hurricane', 'ominous-wind', 'supersonic', 'whirlwind', 'twister', 'rain-dance', 'sleep-talk', 'air-cutter', 'mega-drain', 'bug-bite', 'string-shot', 'tailwind', 'swift', 'quiver-dance', 'solar-beam', 'confusion', 'attract', 'u-turn', 'hyper-beam', 'iron-defense', 'draining-kiss', 'razor-wind', 'silver-wind', 'rage', 'headbutt', 'defog', 'rest', 'flash', 'rage-powder', 'swagger', 'poison-powder', 'sleep-powder', 'curse', 'teleport', 'acrobatics', 'double-edge', 'thief', 'secret-power', 'facade', 'hidden-power', 'psywave', 'return', 'energy-ball', 'electroweb', 'dream-eater', 'snore', 'psych-up', 'bug-buzz', 'venoshock', 'gust', 'bide', 'tackle', 'substitute', 'round', 'endure', 'baton-pass', 'air-slash', 'giga-impact', 'natural-gift', 'skill-swap', 'dual-wingbeat', 'take-down', 'shadow-ball', 'nightmare'}",320,11,60,45,50,90,80,70
13,weedle,bug,poison,"{'string-shot', 'poison-sting', 'bug-bite', 'electroweb'}",32,3,40,35,30,20,20,50
14,kakuna,bug,poison,"{'bug-bite', 'iron-defense', 'string-shot', 'electroweb', 'harden'}",100,6,45,25,50,25,25,35
15,beedrill,bug,poison,"{'reflect', 'sunny-day', 'roost', 'double-team', 'confide', 'outrage', 'captivate', 'protect', 'mimic', 'sweet-scent', 'aerial-ace', 'harden', 'fell-stinger', 'payback', 'twineedle', 'x-scissor', 'assurance', 'frustration', 'peck', 'fury-cutter', 'struggle-bug', 'toxic', 'giga-drain', 'infestation', 'ominous-wind', 'pursuit', 'swords-dance', 'sleep-talk', 'air-cutter', 'mega-drain', 'laser-focus', 'bug-bite', 'knock-off', 'string-shot', 'tailwind', 'pin-missile', 'swift', 'solar-beam', 'attract', 'u-turn', 'hyper-beam', 'toxic-spikes', 'brick-break', 'silver-wind', 'rage', 'headbutt', 'defog', 'rest', 'flash', 'swagger', 'throat-chop', 'curse', 'acrobatics', 'double-edge', 'thief', 'secret-power', 'facade', 'hidden-power', 'return', 'electroweb', 'cut', 'rock-smash', 'snore', 'endeavor', 'venoshock', 'poison-sting', 'focus-energy', 'brutal-swing', 'bide', 'poison-jab', 'false-swipe', 'substitute', 'sludge-bomb', 'round', 'skull-bash', 'endure', 'drill-run', 'natural-gift', 'giga-impact', 'take-down', 'agility', 'fury-attack'}",295,10,65,90,40,45,80,75
16,pidgey,normal,flying,"{'snore', 'wing-attack', 'reflect', 'rest', 'frustration', 'sunny-day', 'pluck', 'toxic', 'swagger', 'gust', 'sand-attack', 'bide', 'roost', 'hurricane', 'tackle', 'detect', 'steel-wing', 'feather-dance', 'quick-attack', 'mud-slap', 'ominous-wind', 'substitute', 'mirror-move', 'curse', 'whirlwind', 'pursuit', 'round', 'double-team', 'twister', 'rain-dance', 'sleep-talk', 'double-edge', 'air-cutter', 'brave-bird', 'confide', 'thief', 'captivate', 'work-up', 'tailwind', 'swift', 'uproar', 'secret-power', 'endure', 'protect', 'mimic', 'air-slash', 'sky-attack', 'facade', 'aerial-ace', 'hidden-power', 'natural-gift', 'foresight', 'attract', 'take-down', 'u-turn', 'return', 'agility', 'razor-wind', 'feint-attack', 'rage', 'headbutt', 'defog', 'heat-wave', 'fly'}",18,3,40,45,40,35,35,56
17,pidgeotto,normal,flying,"{'snore', 'wing-attack', 'reflect', 'rest', 'frustration', 'sunny-day', 'pluck', 'toxic', 'swagger', 'gust', 'sand-attack', 'bide', 'roost', 'hurricane', 'tackle', 'detect', 'steel-wing', 'feather-dance', 'quick-attack', 'mud-slap', 'ominous-wind', 'substitute', 'mirror-move', 'curse', 'whirlwind', 'round', 'double-team', 'twister', 'rain-dance', 'sleep-talk', 'double-edge', 'air-cutter', 'confide', 'thief', 'captivate', 'work-up', 'tailwind', 'swift', 'uproar', 'secret-power', 'endure', 'protect', 'mimic', 'air-slash', 'sky-attack', 'facade', 'aerial-ace', 'hidden-power', 'natural-gift', 'attract', 'u-turn', 'take-down', 'return', 'agility', 'razor-wind', 'rage', 'headbutt', 'defog', 'heat-wave', 'fly'}",300,11,63,60,55,50,50,71
18,pidgeot,normal,flying,"{'snore', 'wing-attack', 'reflect', 'rest', 'frustration', 'sunny-day', 'pluck', 'toxic', 'swagger', 'gust', 'sand-attack', 'bide', 'roost', 'hurricane', 'tackle', 'detect', 'steel-wing', 'feather-dance', 'quick-attack', 'mud-slap', 'ominous-wind', 'substitute', 'mirror-move', 'curse', 'whirlwind', 'round', 'double-team', 'twister', 'rain-dance', 'sleep-talk', 'double-edge', 'air-cutter', 'confide', 'laser-focus', 'thief', 'captivate', 'work-up', 'tailwind', 'swift', 'uproar', 'secret-power', 'endure', 'protect', 'mimic', 'air-slash', 'sky-attack', 'facade', 'aerial-ace', 'hidden-power', 'natural-gift', 'giga-impact', 'attract', 'u-turn', 'take-down', 'hyper-beam', 'return', 'agility', 'razor-wind', 'rage', 'headbutt', 'defog', 'heat-wave', 'fly'}",395,15,83,80,75,70,70,101
19,rattata,normal,,"{'sunny-day', 'pluck', 'thunder', 'revenge', 'grass-knot', 'reversal', 'blizzard', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'fury-swipes', 'me-first', 'assurance', 'frustration', 'bite', 'taunt', 'toxic', 'crunch', 'final-gambit', 'retaliate', 'pursuit', 'water-gun', 'thunder-wave', 'hyper-fang', 'rain-dance', 'sleep-talk', 'zen-headbutt', 'laser-focus', 'swift', 'attract', 'u-turn', 'rage', 'headbutt', 'rest', 'counter', 'swagger', 'thunderbolt', 'quick-attack', 'curse', 'bubble-beam', 'double-edge', 'covet', 'thief', 'wild-charge', 'work-up', 'secret-power', 'facade', 'hidden-power', 'tail-whip', 'return', 'super-fang', 'cut', 'iron-tail', 'sucker-punch', 'flame-wheel', 'rock-smash', 'snore', 'defense-curl', 'endeavor', 'focus-energy', 'bide', 'tackle', 'mud-slap', 'ice-beam', 'dig', 'substitute', 'sludge-bomb', 'round', 'icy-wind', 'screech', 'last-resort', 'skull-bash', 'uproar', 'endure', 'natural-gift', 'take-down', 'body-slam', 'shadow-ball', 'shock-wave', 'charge-beam'}",35,3,30,56,35,25,35,72
20,raticate,normal,,"{'sunny-day', 'pluck', 'thunder', 'grass-knot', 'blizzard', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'fury-swipes', 'assurance', 'frustration', 'bite', 'taunt', 'stomping-tantrum', 'toxic', 'crunch', 'retaliate', 'pursuit', 'water-gun', 'thunder-wave', 'hyper-fang', 'swords-dance', 'sleep-talk', 'rain-dance', 'zen-headbutt', 'laser-focus', 'swift', 'roar', 'attract', 'u-turn', 'hyper-beam', 'rage', 'headbutt', 'scary-face', 'rest', 'counter', 'swagger', 'thunderbolt', 'throat-chop', 'quick-attack', 'curse', 'bubble-beam', 'double-edge', 'covet', 'thief', 'wild-charge', 'work-up', 'secret-power', 'facade', 'hidden-power', 'tail-whip', 'return', 'super-fang', 'cut', 'iron-tail', 'sucker-punch', 'rock-smash', 'snore', 'defense-curl', 'endeavor', 'focus-energy', 'bide', 'tackle', 'mud-slap', 'ice-beam', 'dig', 'substitute', 'sludge-bomb', 'round', 'icy-wind', 'last-resort', 'skull-bash', 'uproar', 'endure', 'strength', 'natural-gift', 'giga-impact', 'body-slam', 'take-down', 'shadow-ball', 'shock-wave', 'charge-beam'}",185,7,55,81,60,50,70,97
21,spearow,normal,flying,"{'snore', 'peck', 'wing-attack', 'echoed-voice', 'rest', 'frustration', 'sunny-day', 'growl', 'pluck', 'toxic', 'swagger', 'focus-energy', 'drill-peck', 'astonish', 'bide', 'roost', 'scary-face', 'tri-attack', 'detect', 'steel-wing', 'feather-dance', 'quick-attack', 'mud-slap', 'ominous-wind', 'false-swipe', 'substitute', 'mirror-move', 'curse', 'whirlwind', 'pursuit', 'round', 'double-team', 'twister', 'rain-dance', 'sleep-talk', 'double-edge', 'air-cutter', 'confide', 'thief', 'captivate', 'work-up', 'tailwind', 'swift', 'uproar', 'secret-power', 'endure', 'protect', 'mimic', 'sky-attack', 'facade', 'drill-run', 'aerial-ace', 'hidden-power', 'natural-gift', 'attract', 'u-turn', 'take-down', 'return', 'agility', 'razor-wind', 'assurance', 'feint-attack', 'rage', 'headbutt', 'leer', 'fury-attack', 'defog', 'heat-wave', 'fly'}",20,3,40,60,30,31,31,70
22,fearow,normal,flying,"{'snore', 'peck', 'wing-attack', 'echoed-voice', 'rest', 'frustration', 'sunny-day', 'growl', 'pluck', 'toxic', 'swagger', 'focus-energy', 'drill-peck', 'bide', 'roost', 'throat-chop', 'tri-attack', 'detect', 'steel-wing', 'quick-attack', 'mud-slap', 'ominous-wind', 'false-swipe', 'substitute', 'mirror-move', 'curse', 'whirlwind', 'pursuit', 'round', 'double-team', 'twister', 'rain-dance', 'sleep-talk', 'double-edge', 'air-cutter', 'confide', 'laser-focus', 'thief', 'captivate', 'work-up', 'tailwind', 'swift', 'uproar', 'secret-power', 'endure', 'protect', 'mimic', 'sky-attack', 'facade', 'drill-run', 'aerial-ace', 'hidden-power', 'natural-gift', 'giga-impact', 'attract', 'u-turn', 'take-down', 'hyper-beam', 'return', 'agility', 'razor-wind', 'assurance', 'rage', 'headbutt', 'leer', 'fury-attack', 'defog', 'heat-wave', 'fly'}",380,12,65,90,65,61,61,100
23,ekans,poison,,"{'sunny-day', 'torment', 'switcheroo', 'rock-slide', 'wrap', 'poison-fang', 'double-team', 'confide', 'leech-life', 'captivate', 'stockpile', 'scale-shot', 'protect', 'mimic', 'aqua-tail', 'payback', 'sludge-wave', 'frustration', 'bite', 'toxic', 'earthquake', 'crunch', 'giga-drain', 'infestation', 'acid-spray', 'lash-out', 'haze', 'pursuit', 'tera-blast', 'rain-dance', 'sleep-talk', 'mega-drain', 'seed-bomb', 'knock-off', 'mud-shot', 'rock-tomb', 'attract', 'toxic-spikes', 'rage', 'headbutt', 'dark-pulse', 'disable', 'scary-face', 'rest', 'swagger', 'trailblaze', 'curse', 'double-edge', 'poison-tail', 'slam', 'thief', 'secret-power', 'facade', 'bulldoze', 'belch', 'hidden-power', 'coil', 'return', 'gastro-acid', 'iron-tail', 'sucker-punch', 'fissure', 'glare', 'snore', 'fire-fang', 'snarl', 'snatch', 'spit-up', 'venoshock', 'psychic-fangs', 'poison-sting', 'mud-bomb', 'spite', 'gunk-shot', 'brutal-swing', 'bide', 'beat-up', 'poison-jab', 'mud-slap', 'dig', 'substitute', 'sludge-bomb', 'round', 'screech', 'bind', 'skull-bash', 'endure', 'strength', 'natural-gift', 'body-slam', 'take-down', 'acid', 'swallow', 'leer'}",69,20,35,60,44,40,54,55
24,arbok,poison,,"{'ice-fang', 'sunny-day', 'torment', 'switcheroo', 'rock-slide', 'thunder-fang', 'wrap', 'poison-fang', 'dragon-tail', 'double-team', 'confide', 'leech-life', 'captivate', 'stockpile', 'scale-shot', 'protect', 'mimic', 'aqua-tail', 'payback', 'sludge-wave', 'frustration', 'bite', 'stomping-tantrum', 'toxic', 'earthquake', 'crunch', 'giga-drain', 'infestation', 'acid-spray', 'lash-out', 'haze', 'tera-blast', 'rain-dance', 'sleep-talk', 'mega-drain', 'seed-bomb', 'knock-off', 'mud-shot', 'rock-tomb', 'attract', 'hyper-beam', 'toxic-spikes', 'rage', 'headbutt', 'dark-pulse', 'scary-face', 'rest', 'swagger', 'throat-chop', 'trailblaze', 'curse', 'double-edge', 'poison-tail', 'slam', 'thief', 'secret-power', 'facade', 'bulldoze', 'belch', 'hidden-power', 'coil', 'return', 'gastro-acid', 'iron-tail', 'sucker-punch', 'fissure', 'glare', 'snore', 'fire-fang', 'snarl', 'snatch', 'spit-up', 'venoshock', 'psychic-fangs', 'poison-sting', 'mud-bomb', 'spite', 'gunk-shot', 'brutal-swing', 'bide', 'poison-jab', 'mud-slap', 'dig', 'substitute', 'sludge-bomb', 'round', 'screech', 'bind', 'skull-bash', 'endure', 'strength', 'natural-gift', 'giga-impact', 'body-slam', 'take-down', 'acid', 'swallow', 'leer'}",650,35,60,95,69,65,79,80
25,pikachu,electric,,"{'reflect', 'charge', 'thunder', 'grass-knot', 'detect', 'reversal', 'fling', 'rising-voltage', 'double-team', 'confide', 'captivate', 'protect', 'mimic', 'frustration', 'echoed-voice', 'signal-beam', 'growl', 'volt-tackle', 'toxic', 'submission', 'fake-tears', 'discharge', 'thunder-shock', 'tera-blast', 'thunder-wave', 'rain-dance', 'sleep-talk', 'laser-focus', 'knock-off', 'swift', 'thunder-punch', 'attract', 'draining-kiss', 'brick-break', 'rage', 'headbutt', 'mega-kick', 'mega-punch', 'rest', 'electric-terrain', 'flash', 'counter', 'focus-punch', 'swagger', 'thunderbolt', 'rollout', 'trailblaze', 'quick-attack', 'nasty-plot', 'play-rough', 'nuzzle', 'pay-day', 'curse', 'double-edge', 'covet', 'slam', 'thief', 'wild-charge', 'secret-power', 'dynamic-punch', 'facade', 'magnet-rise', 'hidden-power', 'tail-whip', 'surf', 'calm-mind', 'return', 'electroweb', 'feint', 'iron-tail', 'disarming-voice', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'bide', 'charm', 'play-nice', 'volt-switch', 'mud-slap', 'dig', 'substitute', 'electro-ball', 'eerie-impulse', 'round', 'encore', 'double-kick', 'skull-bash', 'uproar', 'helping-hand', 'endure', 'spark', 'strength', 'natural-gift', 'light-screen', 'body-slam', 'take-down', 'zap-cannon', 'shock-wave', 'sweet-kiss', 'agility', 'charge-beam'}",60,4,35,55,40,50,50,90
